URL,prchecker,checkpagerank,TF,IDF,IDFLogBase2,TFIDF,TFIDFLogBase2
505_www.azcentral.com.txt,6,8,0.018630003,0.287588295,-1.797923138,0.005357771,-0.033495314
435_www.northjersey.com.txt,6,7,0.000484262,0.287588295,-1.797923138,0.000139268,-0.000870665
1006_www.gosanangelo.com.txt,5,5,0.000400513,0.287588295,-1.797923138,0.000115183,-0.000720091
558_www.denverpost.com.txt,7,8,0.000377558,0.287588295,-1.797923138,0.000108581,-0.00067882
256_www.indystar.com.txt,6,7,0.000283346,0.287588295,-1.797923138,8.15E-05,-0.000509435
509_www.lansingstatejournal.com.txt,6,6,0.000281432,0.287588295,-1.797923138,8.09E-05,-0.000505994
249_thetartan.org.txt,6,5,0.000202703,0.287588295,-1.797923138,5.83E-05,-0.000364444
895_leaderpost.com.txt,7,6,0.00019857,0.287588295,-1.797923138,5.71E-05,-0.000357014
186_www.thevwindependent.com.txt,0,4,0.000128932,0.287588295,-1.797923138,3.71E-05,-0.000231811
371_carver.wickedlocal.com.txt,0,6,0.000125486,0.287588295,-1.797923138,3.61E-05,-0.000225615
