UserName,FollowersCount
vphill,1001
cni_org,3541
aminabahri7,0
Resoource,1329
thesquashSH,1790
silvertje,5803
Gavindya2,19
JanaeJackson__,9
yasithmilinda,120
mahfuzulhoq,63
suleiman_husam,3
Ait360,610
anwagnerdreas,498
profdownie,243
ijaitjournal,33
euanc,2146
fanchyna,51
_Dhanraj,567
storygraphbot,46
UdochiNweke,0
unstablearchive,723
jrich85,72
dalmailing,332
lsuttell,890
NLM_DIMRC,6221
ResearchBuzz,5401
jeffreysreznick,1253
rdarrellmeadows,517
TotalAssumption,3523
Rezasho0n,282
chandakaniket,87
drchargood,102
lesliemsage,241
amnsalehi,6
MeryemBendella,37
ACMHT,275
mizan102,20
nunompmoniz,1022
vinaygo,197
ingmarweber,2224
michael659420,20
SyrupType,231
bitarchivist,849
normeu,29
BelaGipp,210
icanhazmemento,45
_lpag,197
anne_lauscher,50
arjenpdevries,1988
societyoftrees,158
protestreich,94
kaiec,318
maxgreco,838
mhucka,690
BreitingerC,108
TirthankarSlg,56
s_putze,25
FranziskaPradel,50
phschaer,355
safety_refinery,782
patrickDurusau,1275
hrbrmstr,10461
AnnaPerricci,688
elieraad,766
KotsemirMaxim,926
jcdl2018,143
sfatiho,103
SirigerePrakash,4
GetGabrielB,16
IRI_2019,3
albsantosdel,203
manishdeora,231
bobcatsss2019,531
network25935525,10
nickishiring,164
ikbear,1438
8u1x0,44
fromADMwithlove,740
saglikozhan,639
keesone,757
sahelno,2
Wikicite,3157
nwalpin,0
Jim_Salmons,712
Tswaynee,182
rainroogle,18
skhoboo,277
jlkoepke,1095
softandfierce,633
epicureansir,12
ajioye,1487
Phonerium1,5
mcdonald,2685
wospworkshop,173
scientocracyio,569
PageDashApp,27
pluto_network,1241
mir_smi,71
camsteiner,347
Hussam_A_Hallak,45
srbutner,395
HarvLatinoAlum,356
vikesh_koul,510
brian3354,47
m_nsiddique,43
maheedhargunnam,48
PlinioHVargas,31
RyanOkta16,4
mart1nkle1n,711
HarvardLIL,2539
MiglenaMinkova,159
ZachTanZM,109
femalegazebot,408
IgwehJonah,224
jayjeystic,1364
iamidakwo,262
grateful_slave,592
rkarasick,157
lizalphilHR,862
DamolaMore,1185
AijazAh20128175,4
KRGilbertson,938
thepamilerin,95545
EbenezarWikina,5629
blossomozurumba,44834
grantcatkins,64
RyanDeschamps,3554
jasminemulliken,470
james3neal,9402
aabibliographer,2029
effodu,4371
Sophiepinky22,30
ProudPakArmy,69
Okereke_Lucky,9
NiekoGloss,21539
BabithaBokka,2
aag1091,631
knowtheory,4458
nanopub_org,437
mceke88,49
mowdydod,6
joaileen_,497
erikaris,151
dennisredeker,252
AntonJRasmussen,6
SohanKhattak,43
jsayeidi123,3
jcdl2017,217
cipherbook,17
documentnow,2357
ProactiveProf,1025
JaveriaKiran2,17
clancynewyork,2768
captain_maybe,2480
Vendett26972328,12
akkshirsagar,6
ChrisAldrich,2259
oducs,252
PositiveID_Corp,2210
archiveis,2549
permacc,747
fizza_hassan,42
KhTalha6,17
MySoulisFat,325
ahidamzair,6967
atomotic,1001
lkcalloway,2059
meangrape,4919
localmem,50
kevinphys,63
Mementoweb,86
scientiffic,1747
mzagaja,831
whatbrett,1174
walkeroh,860
dpjones1983,99
jesseajohnston,1625
SocScholarCR,1738
diuhtez,211
chrisfreeland,1526
J_IreneTieman,285
moduloone,802
helgeho,140
webrecorder_io,1710
BergisJules,3044
mdzellerCDAL,71
weiglemc,343
hvdsomp,1966
emilymaemura,212
docmattweber,1189
DanKerchner,316
Moha_Magdy,738
jessogden,2180
edsu,5777
ncasemajor,373
johnaberlin,148
Mohamma47262302,13
anneliv,233
ssfrug,143
doviethung,16
thenetmonitor,2581
muira_mccammon,1005
e_mccain,554
zittrain,44420
abziegler,2031
this_phillips,235
elithemutt,209
DanMilanko,8
CorrenMcCoy,40
6T7VXu11XcTiAbd,15
nofearcoca972,253
nichworby,24
smythbound,185
moffattchristie,67
srocheleau,341
kelseyutne,1288
f_nanni,483
ruebot,1720
AllisonHegel,201
pj_webster,3096
nullhandle,1176
bertramlyons,1586
KatherineRCook,2032
jeremyw,290
IuliaCristina12,96
AndreeaCorinaM2,261
majetisiri,36
babafree2223,39
SaligariTwitte,7
ianmilligan1,4689
phonedude_mln,921
riyadgraphic,17
kaylamarie0110,21
janesodea,3
shawnmjones,406
kingswebit,125
ScottGAinsworth,147
LOttobre,26
robina_naazli,685
justinfbrunelle,271
ibnesayeed,653
abenbot,45
aheshamSalem,247
LulwahMA,53
yasmina_anwar,462
maturban1,125
WebSciDL,448
